CLIENT [C(00006)]`OBJECT [C(00020)]`SUBOBJECT [C(00012)]`NRRANGENR [C(00004)]`TOYEAR [C(00008)]`FROMNUMBER [C(00040)]`TONUMBER [C(00040)]`NRLEVEL [C(00040)]`EXTERNIND [C(00002)]
400`  ANLAGENNR`  2610`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2610`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2610`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2610`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2610`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2610`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2610`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2610`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  2810`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2810`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2810`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  2910`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2910`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2910`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  3010`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  3010`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  3010`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  3210`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  3210`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  3210`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  3310`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  3310`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
