MANDT [C(00006)]`KTOPL [C(00008)]`KTOGR [C(00016)]`AFABE [C(00004)]`KTSZUS [C(00020)]`KTSAFU [C(00020)]`KTNAFB [C(00020)]`KTNAFG [C(00020)]`KTNZUS [C(00020)]`KTNAFU [C(00020)]`KTSAFB [C(00020)]`KTSAFG [C(00020)]
400`  `  00010000`  01`  `  `  0000191900`  0000792100`  `  0000792100`  `
400`  CARU`  01011010`  01`  `  `  `  `  `  `  `
400`  CASE`  00010000`  01`  `  `  `  `  `  `  `
400`  CASE`  00010000`  51`  `  `  `  `  `  `  `
400`  CASE`  00011000`  01`  `  `  `  `  `  `  `
400`  CASE`  00020000`  01`  `  `  `  `  `  `  `
400`  CASE`  00020000`  51`  `  `  `  `  `  `  `
400`  CASE`  00020000`  52`  `  `  `  `  `  `  `
400`  CASE`  00020000`  53`  `  `  `  `  `  `  `
400`  CASE`  00020000`  54`  `  `  `  `  `  `  `
400`  CASE`  00020000`  55`  `  `  `  `  `  `  `
400`  CASE`  00030000`  01`  `  `  `  `  `  `  `
400`  CASE`  00030000`  51`  `  `  `  `  `  `  `
400`  CASE`  00030000`  52`  `  `  `  `  `  `  `
400`  CASE`  00030000`  53`  `  `  `  `  `  `  `
400`  CASE`  00030000`  54`  `  `  `  `  `  `  `
400`  CASE`  00031000`  01`  `  `  `  `  `  `  `
400`  CASE`  00032000`  01`  `  `  `  `  `  `  `
400`  CASE`  00040000`  01`  `  `  `  `  `  `  `
400`  CASE`  00040000`  51`  `  `  `  `  `  `  `
400`  CASE`  00040000`  52`  `  `  `  `  `  `  `
400`  CASE`  00040000`  53`  `  `  `  `  `  `  `
400`  CASE`  00040000`  54`  `  `  `  `  `  `  `
400`  CASE`  00050000`  01`  `  `  `  `  `  `  `
400`  CASE`  00050000`  51`  `  `  `  `  `  `  `
400`  CASE`  SE1010`  01`  `  `  0000101900`  0000781100`  `  `  `
400`  CASE`  SE1070`  01`  `  `  0000107900`  0000781700`  `  `  `
400`  CASE`  SE1080`  01`  `  `  `  `  `  `  `
400`  CASE`  SE1110`  01`  `  `  0000111900`  0000782100`  `  `  `
400`  CASE`  SE1150`  01`  `  `  0000115900`  0000782400`  `  `  `
400`  CASE`  SE1210`  01`  `  `  0000121900`  0000783100`  `  `  `
400`  CASE`  SE1220`  01`  `  `  0000122900`  0000783200`  `  `  `
400`  CASE`  SE1227`  01`  `  `  0000122700`  0000541000`  `  `  `
400`  CASE`  SE1228`  01`  `  `  0000122800`  0000542000`  `  `  `
400`  CASE`  SE1230`  01`  `  `  0000123900`  0000783300`  `  `  `
400`  CASE`  SE1240`  01`  `  `  0000124900`  0000783400`  `  `  `
400`  CASE`  SE1250`  01`  `  `  0000125900`  0000783500`  `  `  `
400`  CASK`  00010000`  01`  `  `  0000089000`  0000551000`  0000551000`  0000551000`  `
400`  CASK`  00020000`  01`  `  `  0000082000`  0000551000`  0000551000`  0000551000`  `
400`  CASK`  00030000`  01`  `  `  0000081000`  0000551000`  0000551000`  0000551000`  `
400`  CASK`  00050000`  01`  `  `  0000088000`  0000551000`  0000551000`  0000551000`  `
400`  CASK`  00091100`  01`  `  `  0000071000`  0000551000`  0000551000`  `  `
400`  CASK`  00091200`  01`  `  `  0000072000`  0000551000`  0000551000`  `  `
400`  CASK`  00091300`  01`  `  `  0000073000`  0000551000`  0000551000`  `  `
400`  CASK`  00091400`  01`  `  `  0000074000`  0000551000`  0000551000`  `  `
400`  CASK`  00091800`  01`  `  `  0000078000`  0000551000`  0000551000`  `  `
400`  CASK`  00091900`  01`  `  `  0000079000`  0000551000`  0000551000`  `  `
400`  CASK`  00092100`  01`  `  `  0000081000`  0000551000`  0000551000`  `  `
400`  CASK`  00092200`  01`  `  `  0000082000`  0000551000`  0000551000`  `  `
400`  CASK`  00092500`  01`  `  `  0000085000`  0000551000`  0000551000`  `  `
400`  CASK`  00092600`  01`  `  `  0000086000`  0000551000`  0000551000`  `  `
400`  CASK`  00092800`  01`  `  `  0000088000`  0000551000`  0000551000`  `  `
400`  CASK`  00092900`  01`  `  `  0000089000`  0000551000`  0000551000`  `  `
400`  CASK`  00093100`  01`  `  `  0000089000`  0000551000`  0000551000`  `  `
400`  CASK`  00093200`  01`  `  `  0000089000`  0000551000`  0000551000`  `  `
400`  CASK`  00094100`  01`  `  `  0000079000`  0000551000`  0000551000`  `  `
400`  CASK`  00094200`  01`  `  `  0000089000`  0000551000`  0000551000`  `  `
400`  CATR`  00010000`  01`  `  `  0257000000`  0897000611`  0679000990`  `  `
400`  CATR`  00011000`  01`  `  `  0257020000`  0897000612`  0679000990`  `  `
400`  CATR`  00020000`  01`  `  `  0257030000`  0897000613`  0679000990`  `  `
400`  CATR`  00030000`  01`  `  `  0257050000`  0897000615`  0679000990`  `  `
400`  CATR`  00031000`  01`  `  `  0257040000`  0897000614`  0679000990`  `  `
400`  CATR`  00032000`  01`  `  `  0257060000`  0897000616`  0679000990`  `  `
400`  CATR`  00040000`  01`  `  `  0257070000`  0897000617`  `  `  `
400`  CATR`  TR250`  01`  `  `  `  `  `  `  `
400`  CATR`  TR251`  01`  `  `  0257010000`  0897000611`  0679000990`  `  `
400`  CATR`  TR252`  01`  `  `  0257020000`  0897000612`  0679000990`  `  `
400`  CATR`  TR253`  01`  `  `  0257030000`  0897000613`  0679000990`  `  `
400`  CATR`  TR254`  01`  `  `  0257040000`  0897000614`  0679000990`  `  `
400`  CATR`  TR255`  01`  `  `  0257050000`  0897000615`  0679000990`  `  `
400`  CATR`  TR256`  01`  `  `  0257060000`  0897000616`  0679000990`  `  `
