MANDT [C(00006)]`VKORG [C(00008)]`VTWEG [C(00004)]`SPART [C(00004)]`KALVG [C(00004)]`KALKS [C(00004)]`KALSM [C(00012)]`KARTV [C(00008)]`KALNB [C(00012)]`KALBB [C(00012)]
400`  `  `  `  `  `  `  `  `
400`  1510`  10`  00`  A`  01`  A15002`  PPR0`  `
400`  1510`  10`  00`  AS`  `  A15010`  `  `
400`  1510`  10`  00`  AS`  01`  A15010`  `  `
400`  1510`  10`  00`  Y1`  `  Y15101`  PPR0`  YA0001`
400`  1510`  10`  00`  Y1`  01`  Y15101`  PPR0`  YA0001`
400`  1510`  10`  00`  Y2`  `  A15004`  VTV1`  `
400`  1510`  10`  00`  Y2`  01`  A15004`  VTV1`  `
400`  1510`  10`  CO`  A`  `  A15002`  PPR0`  `
400`  1510`  10`  CO`  A`  01`  A15002`  PPR0`  `
400`  1510`  10`  CO`  AS`  `  A15010`  `  `
400`  1510`  10`  CO`  AS`  01`  A15010`  `  `
400`  1510`  10`  CO`  Y1`  `  Y15101`  PPR0`  YA0001`
400`  1510`  10`  CO`  Y1`  01`  Y15101`  PPR0`  YA0001`
400`  1510`  10`  CO`  Y2`  `  A15004`  VTV1`  `
400`  1510`  10`  CO`  Y2`  01`  A15004`  VTV1`  `
400`  1610`  10`  00`  A`  `  A16002`  PPR0`  `
400`  1610`  10`  00`  A`  01`  A16002`  PPR0`  `
400`  1610`  10`  00`  Y1`  `  Y16101`  PPR0`  `
400`  1610`  10`  00`  Y1`  01`  Y16101`  PPR0`  `
400`  1610`  10`  00`  Y2`  `  A16004`  VTV1`  `
400`  1610`  10`  00`  Y2`  01`  A16004`  VTV1`  `
400`  1610`  10`  CO`  A`  `  A16002`  PPR0`  `
400`  1610`  10`  CO`  A`  01`  A16002`  PPR0`  `
400`  1610`  10`  CO`  Y1`  `  Y16101`  PPR0`  `
400`  1610`  10`  CO`  Y1`  01`  Y16101`  PPR0`  `
400`  1610`  10`  CO`  Y2`  `  A16004`  VTV1`  `
400`  1610`  10`  CO`  Y2`  01`  A16004`  VTV1`  `
400`  1710`  10`  00`  A`  02`  A17J02`  PPR0`  `
400`  1710`  10`  00`  AS`  02`  A17J10`  `  `
400`  1710`  10`  00`  O1`  `  Y17101`  PPR0`  `
400`  1710`  10`  00`  O1`  01`  Y17101`  PPR0`  `
400`  1710`  10`  00`  O1`  02`  Y17J01`  PPR0`  `
400`  1710`  10`  00`  S1`  `  S17J01`  PPR0`  `
400`  1710`  10`  00`  S1`  01`  S17J01`  PPR0`  `
400`  1710`  10`  00`  S1`  02`  S17J01`  PPR0`  `
400`  1710`  10`  00`  S3`  `  A17020`  PSI1`  `
400`  1710`  10`  00`  S3`  01`  A17020`  PSI1`  `
