TCODE [C(00040)]`PARAM [C(00508)]
/ACCGO/UND_VENDOR`  /*SM30 VIEWNAME=/ACCGO/V_DUM_VEN;UPDATE=X;
/ACCGO/VALPNT`  /*SM30 VIEWNAME=/ACCGO/T_VALUPNT;UPDATE=X;
/ACCGO/V_ABDTYPE`  /*SM30 VIEWNAME=/ACCGO/V_ABDTYPE;UPDATE=X;
/ACCGO/V_CRDBREQ`  /*SM30 VIEWNAME=/ACCGO/V_CRDBREQ;UPDATE=X;
/ACCGO/V_FEE_CUR`  /*SM30 VIEWNAME=/ACCGO/V_FEE_CUR;UPDATE=X;
/ACCGO/V_LIEN_AP`  /*SM30 VIEWNAME=/ACCGO/V_lien_pm;UPDATE=X;
/ACCGO/V_LM_DPQS`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_LM_DPQS;
/ACCGO/V_MAPDPQS`  /*SM30 VIEWNAME=/ACCGO/V_MAPDPQS;UPDATE=X;
/ACCGO/WHR`  /*SNUM TNRO-OBJECT=/ACCGO/WHR;
/AIF/CUST_FUNC`  /*SM34 VCLDIR-VCLNAME=/AIF/CFUNC;UPDATE=X;
/AIF/CUST_HINTS`  /*SM34 VCLDIR-VCLNAME=/AIF/CHINTS;UPDATE=X;
/AIF/CUST_LINK`  /*SM34 VCLDIR-VCLNAME=/AIF/CLINK;UPDATE=X;
/AIF/CUST_TEXT`  /*SM34 VCLDIR-VCLNAME=/AIF/CTEXT;UPDATE=X;
/AIF/DEPL_SCENARIO`  /*SM30 SHOW=X;VIEWNAME=/AIF/V_DEPLSC;
/AIF/IF_TRACE`  /*SM30 VIEWNAME=/AIF/V_FINF_TL;UPDATE=X;
/AIF/INTERFACE_LIST`  /*SM30 SHOW=X;VIEWNAME=/AIF/V_SCINF;
/AIF/MSG_CAT_ASGN`  /*SM30 UPDATE=X;VIEWNAME=/AIF/V_MSG_ASN;
/AIF/MSG_CAT_DEF`  /*SM30 UPDATE=X;VIEWNAME=/AIF/V_MSG_CAT;
