MANDT [C(00006)]`SPRAS [C(00002)]`AFAPL [C(00008)]`METSTU [C(00006)]`STUTXT [C(00100)]
400`  E`  0JP`  211`  Straight-Line/Percent using Useful Life, 9,1000%
400`  E`  0JP`  212`  Straight-Line/Percent using Useful Life, 8,4000%
400`  E`  0JP`  213`  Straight-Line/Percent using Useful Life, 7,7000%
400`  E`  0JP`  214`  Straight-Line/Percent using Useful Life, 7,2000%
400`  E`  0JP`  215`  Straight-Line/Percent using Useful Life, 6,7000%
400`  E`  0JP`  216`  Straight-Line/Percent using Useful Life, 6,3000%
400`  E`  0JP`  217`  Straight-Line/Percent using Useful Life, 5,9000%
400`  E`  0JP`  218`  Straight-Line/Percent using Useful Life, 5,6000%
400`  E`  0JP`  219`  Straight-Line/Percent using Useful Life, 5,3000%
400`  E`  0JP`  220`  Straight-Line/Percent using Useful Life, 5,0000%
400`  E`  0JP`  221`  Straight-Line/Percent using Useful Life, 4,8000%
400`  E`  0JP`  240`  Straight-Line/Percent using Useful Life, 2,4000%
400`  E`  0JP`  241`  Straight-Line/Percent using Useful Life, 2,3000%
400`  E`  0JP`  341`  Declining Balance using Useful Life, 6,1000%
400`  E`  0JP`  342`  Declining Balance using Useful Life, 6,0000%
400`  E`  0JP`  343`  Declining Balance using Useful Life, 5,8000%
400`  E`  0JP`  344`  Declining Balance using Useful Life, 5,7000%
400`  E`  0JP`  345`  Declining Balance using Useful Life, 5,6000%
400`  E`  0JP`  346`  Declining Balance using Useful Life, 5,4000%
400`  E`  0JP`  347`  Declining Balance using Useful Life, 5,3000%
400`  E`  0JP`  348`  Declining Balance using Useful Life, 5,2000%
400`  E`  0JP`  349`  Declining Balance using Useful Life, 5,1000%
400`  E`  0JP`  350`  Declining Balance using Useful Life, 5,0000%
400`  E`  0JP`  351`  Declining Balance using Useful Life, 4,9000%
400`  E`  0JP`  352`  Declining Balance using Useful Life, 4,8000%
400`  E`  0JP`  353`  Declining Balance using Useful Life, 4,7000%
400`  E`  0JP`  354`  Declining Balance using Useful Life, 4,6000%
400`  E`  0JP`  355`  Declining Balance using Useful Life, 4,5000%
400`  E`  0JP`  356`  Declining Balance using Useful Life, 4,4000%
400`  E`  0JP`  357`  Declining Balance using Useful Life, 4,3000%
400`  E`  0JP`  358`  Declining Balance using Useful Life, 4,2000%
400`  E`  0JP`  359`  Declining Balance using Useful Life, 4,1000%
400`  E`  0JP`  360`  Declining Balance using Useful Life, 4,0000%
400`  E`  0JP`  361`  Declining Balance using Useful Life, 3,9000%
400`  E`  0JP`  362`  Declining Balance using Useful Life, 3,8000%
400`  E`  0JP`  363`  Declining Balance using Useful Life, 3,7000%
400`  E`  0JP`  364`  Declining Balance using Useful Life, 3,6000%
400`  E`  0JP`  365`  Declining Balance using Useful Life, 3,5000%
400`  E`  0JP`  366`  Declining Balance using Useful Life, 3,4000%
400`  E`  0JP`  367`  Declining Balance using Useful Life, 3,3000%
400`  E`  0JP`  368`  Declining Balance using Useful Life, 3,2000%
400`  E`  0JP`  369`  Declining Balance using Useful Life, 3,1000%
400`  E`  0JP`  370`  Declining Balance using Useful Life, 3,0000%
400`  E`  0JP`  371`  Declining Balance using Useful Life, 2,9000%
400`  E`  0JP`  372`  Declining Balance using Useful Life, 2,8000%
400`  E`  0JP`  373`  Declining Balance using Useful Life, 2,7000%
400`  E`  0JP`  374`  Declining Balance using Useful Life, 2,6000%
400`  E`  0JP`  375`  Declining Balance using Useful Life, 2,5000%
400`  E`  0JP`  401`  Revised/Percent using Useful Life, 100,0000%
400`  E`  0JP`  402`  Revised/Percent using Useful Life, 50,0000%
400`  E`  0JP`  403`  Revised/Percent using Useful Life, 33,4000%
400`  E`  0JP`  404`  Revised/Percent using Useful Life, 25,0000%
400`  E`  0JP`  405`  Revised/Percent using Useful Life, 20,0000%
400`  E`  0JP`  406`  Revised/Percent using Useful Life, 16,7000%
400`  E`  0JP`  407`  Revised/Percent using Useful Life, 14,3000%
400`  E`  0JP`  408`  Revised/Percent using Useful Life, 12,5000%
400`  E`  0JP`  409`  Revised/Percent using Useful Life, 11,2000%
400`  E`  0JP`  410`  Revised/Percent using Useful Life, 10,0000%
400`  E`  0JP`  411`  Revised/Percent using Useful Life, 9,1000%
400`  E`  0JP`  412`  Revised/Percent using Useful Life, 8,4000%
400`  E`  0JP`  413`  Revised/Percent using Useful Life, 7,7000%
400`  E`  0JP`  414`  Revised/Percent using Useful Life, 7,2000%
400`  E`  0JP`  415`  Revised/Percent using Useful Life, 6,7000%
400`  E`  0JP`  416`  Revised/Percent using Useful Life, 6,3000%
400`  E`  0JP`  417`  Revised/Percent using Useful Life, 5,9000%
400`  E`  0JP`  418`  Revised/Percent using Useful Life, 5,6000%
400`  E`  0JP`  419`  Revised/Percent using Useful Life, 5,3000%
400`  E`  0JP`  420`  Revised/Percent using Useful Life, 5,0000%
400`  E`  0JP`  421`  Revised/Percent using Useful Life, 4,8000%
400`  E`  0JP`  422`  Revised/Percent using Useful Life, 4,6000%
400`  E`  0JP`  423`  Revised/Percent using Useful Life, 4,4000%
400`  E`  0JP`  424`  Revised/Percent using Useful Life, 4,2000%
400`  E`  0JP`  425`  Revised/Percent using Useful Life, 4,0000%
400`  E`  0JP`  426`  Revised/Percent using Useful Life, 3,9000%
400`  E`  0JP`  427`  Revised/Percent using Useful Life, 3,8000%
400`  E`  0JP`  428`  Revised/Percent using Useful Life, 3,6000%
400`  E`  0JP`  429`  Revised/Percent using Useful Life, 3,5000%
400`  E`  0JP`  430`  Revised/Percent using Useful Life, 3,4000%
400`  E`  0JP`  431`  Revised/Percent using Useful Life, 3,3000%
400`  E`  0JP`  432`  Revised/Percent using Useful Life, 3,2000%
400`  E`  0JP`  433`  Revised/Percent using Useful Life, 3,1000%
400`  E`  0JP`  434`  Revised/Percent using Useful Life, 3,0000%
400`  E`  0JP`  435`  Revised/Percent using Useful Life, 2,9000%
400`  E`  0JP`  436`  Revised/Percent using Useful Life, 2,7000%
400`  E`  0JP`  437`  Revised/Percent using Useful Life, 2,6000%
400`  E`  0AR`  001`   0.0000%
400`  E`  0AT`  001`   0.0000%
400`  E`  0BE`  001`   0.0000%
400`  E`  0BR`  001`   0.0000%
400`  E`  0CA`  001`   0.0000%
400`  E`  0CH`  001`   0.0000%
400`  E`  0CN`  001`   0.0000%
400`  E`  0CO`  001`   0.0000%
400`  E`  0CZ`  001`   0.0000%
400`  E`  0DE`  001`   0.0000%
400`  E`  0DK`  001`   0.0000%
400`  E`  0ES`  001`   0.0000%
400`  E`  0FI`  001`   0.0000%
400`  E`  0FR`  001`   0.0000%
400`  E`  0GB`  001`   0.0000%
400`  E`  0HK`  001`   0.0000%
400`  E`  0IE`  001`   0.0000%
400`  E`  0IN`  001`   0.0000%
400`  E`  0IT`  001`   0.0000%
400`  E`  0KR`  001`   0.0000%
400`  E`  0LU`  001`   0.0000%
400`  E`  0MX`  001`   0.0000%
400`  E`  0MY`  001`   0.0000%
400`  E`  0NL`  001`   0.0000%
400`  E`  0PE`  001`   0.0000%
400`  E`  0PH`  001`   0.0000%
400`  E`  0PL`  001`   0.0000%
400`  E`  0PT`  001`   0.0000%
400`  E`  0RU`  001`   0.0000%
400`  E`  0SE`  001`   0.0000%
400`  E`  0SG`  001`   0.0000%
400`  E`  0SK`  001`   0.0000%
400`  E`  0TH`  001`   0.0000%
400`  E`  0TW`  001`   0.0000%
400`  E`  0US`  001`   0.0000%
400`  E`  0VE`  001`   0.0000%
400`  E`  0ZA`  001`   0.0000%
400`  E`  BJDM`  001`   0.0000%
400`  E`  CN02`  001`   0.0000%
400`  E`  XXGS`  001`   0.0000%
400`  E`  M009`  001`   0.0000%
400`  E`  0AR`  002`   0.0000%
400`  E`  0BE`  002`   0.0000%
400`  E`  0CA`  002`   0.0000%
400`  E`  0CN`  002`   0.0000%
400`  E`  0CO`  002`   0.0000%
400`  E`  0CZ`  002`   0.0000%
400`  E`  0DE`  002`   0.0000%
400`  E`  0DK`  002`   0.0000%
400`  E`  0FR`  002`   0.0000%
400`  E`  0GB`  002`   0.0000%
400`  E`  0HK`  002`   0.0000%
400`  E`  0IE`  002`   0.0000%
400`  E`  0IN`  002`   0.0000%
400`  E`  0KR`  002`   0.0000%
400`  E`  0LU`  002`   0.0000%
400`  E`  0MX`  002`   0.0000%
400`  E`  0MY`  002`   0.0000%
400`  E`  0NL`  002`   0.0000%
400`  E`  0PE`  002`   0.0000%
400`  E`  0PH`  002`   0.0000%
