PATCH [C(00040)]`SHORT_TEXT [C(00120)]`STATUS [C(00002)]`IMPLE_DATE [D(00016)]`L_IMPL_REL [C(00008)]`DELIV_DATE [D(00016)]`IMPLE_TIME [T(00012)]`COMP_REL [C(00020)]`COMPONENT [C(00060)]
SAPK-60009INISPSCA`  SP 09 for IS-PS-CA 6.00`  I`  20070914`  700`  20070423`  114451`  `
SAPK-60009INISUT`  SP 09 for IS-UT 6.00`  I`  20070914`  700`  20070423`  110920`  `
SAPK-60009INLSOFE`  LSOFE 600: patch 0009`  I`  20070914`  700`  20070424`  082338`  600`  LSOFE
SAPK-60009INSRA004`  SRA004 600: Support Package 0009`  I`  20160808`  751`  20160718`  103949`  600`  SRA004
SAPK-60010INERECRUIT`  ERECRUIT 600: patch 0010`  I`  20070917`  700`  20070615`  110107`  600`  ERECRUIT
SAPK-74006INSTPI`  ST-PI 740: SP 0006`  I`  20170609`  752`  20170411`  074259`  740`  ST-PI
SAPK-60010INFICAX`  SP 10 for FI-CAX 6.00`  I`  20070917`  700`  20070618`  104817`  `
SAPK-60010ININSURANC`  SP 10 for INSURANCE 6.00`  I`  20070917`  700`  20070618`  104558`  `
SAPK-60010INISH`  SP 10 for IS-H 6.00`  I`  20070917`  700`  20070618`  102800`  `
SAPK-60010INISM`  SP 10 for IS-M 6.00`  I`  20070917`  700`  20070618`  095809`  `
SAPK-60010INISOIL`  SP 10 for IS-OIL 6.00`  I`  20070914`  700`  20070618`  151058`  `
SAPK-60010INISPSCA`  SP 10 for IS-PS-CA 6.00`  I`  20070914`  700`  20070618`  115810`  `
SAPK-60010INISUT`  SP 10 for IS-UT 6.00`  I`  20070914`  700`  20070618`  110921`  `
SAPK-60010INLSOFE`  LSOFE 600: patch 0010`  I`  20070914`  700`  20070615`  082339`  600`  LSOFE
SAPK-60011INERECRUIT`  ERECRUIT 600: patch 0011`  I`  20071120`  700`  20071023`  132005`  600`  ERECRUIT
SAPKE60842`  SAP_HR 608: SP 0042`  I`  20170627`  752`  20170612`  074235`  608`  SAP_HR
SAPK-60011INFICAX`  SP 11 for FI-CAX 6.00`  I`  20071120`  700`  20071025`  132002`  `
SAPK-60011ININSURANC`  SP 11 for INSURANCE 6.00`  I`  20071120`  700`  20071025`  132001`  `
SAPK-60011INISH`  SP 11 for IS-H 6.00`  I`  20071120`  700`  20070903`  132003`  600`  IS-H
SAPK-60011INISM`  SP 11 for IS-M 6.00`  I`  20071120`  700`  20071025`  132000`  `
SAPK-60011INISOIL`  SP 11 for IS-OIL 6.00`  I`  20071120`  700`  20071025`  131955`  `
