UserId [C(00030)]`Date [D(00016)]`Time [T(00012)]`ChangedBy [C(00024)]`Action [C(00100)]`OldContentsOfChangedField [C(00150)]`NewContentsOfChangedField [C(00150)]`TCode [C(00030)]
SAP574|12/03/2020|15:56:43|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP574|12/03/2020|15:56:43|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP575|12/03/2020|21:06:00|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP575|12/03/2020|21:06:00|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP575|12/03/2020|21:06:00|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |01/02/2021                                                                                                                                                                                                                                                   |              |SU01```````
SAP575|12/03/2020|21:06:21|SAP   |有效期至：已更改|01/02/2021                                                                                                                                                                                                                                                   |              |12/12/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP576|12/03/2020|21:34:20|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP576|12/03/2020|21:34:20|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP577|12/04/2020|15:48:05|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP577|12/04/2020|15:48:05|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP578|12/05/2020|18:03:08|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP578|12/05/2020|18:03:08|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP579|12/05/2020|18:03:34|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP579|12/05/2020|18:03:34|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP580|12/05/2020|18:07:11|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP580|12/05/2020|18:07:11|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP580|12/05/2020|18:07:11|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/14/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP580|12/15/2020|15:29:32|SAP   |有效期至：已更改|12/14/2020                                                                                                                                                                                                                                                   |              |00/00/0000                                                                                                                                                                                                                                                   |              |SU01```````
SAP581|12/05/2020|20:37:27|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP581|12/05/2020|20:37:27|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
