MANDT [C(00006)]`FLREF [C(00040)]`FAUS1 [C(00140)]`FAUS2 [C(00140)]`FAUS3 [C(00140)]`BSTYP [C(00002)]
400`  UP1F`  ************************.************************.*.*.*.*.**.*****....`  *******************************.*************************************F`  **********************************************************************`  F
400`  UP1K`  ************************.*************************.*********.*********`  *********************************************************************K`  **********************************************************************`  K
400`  UP1L`  ************************.*************************.*********.*********`  *********************************************************************L`  **********************************************************************`  L
400`  UP2F`  ************************.*****************************************..**`  *********************************************************************F`  **********************************************************************`  F
400`  UP2L`  ************************.************************...******************`  *********************************************************************L`  **********************************************************************`  L
400`  UP3F`  ********------***--*-*-*.*-*-*--******-*****-*-*******---***....**..*.`  ...-..--.*---.*.*-..*.*.*....**********..***----*.--****----***..--**F`  **********************************************************************`  F
400`  UP3L`  ********------***--*-*-*.*-*-*--******-*****-*-**.*.*.---***....**-...`  ...-..--.*---.*.*-..*.*.*....**********..***----*.--****----***..--**L`  **********************************************************************`  L
400`  UP4F`  ************************.*****************************************..**`  *********************************************************************F`  **********************************************************************`  F
400`  UP4L`  ************************.************************...******************`  *********************************************************************L`  **********************************************************************`  L
400`  UP5F`  -****---****************.*********************************************`  *********************************************************************F`  **********************************************************************`  F
400`  UP5L`  ************************.*********************************************`  *********************************************************************L`  **********************************************************************`  L
400`  UP6F`  -****--*****************.**.*******************-*****-*-**************`  *****-*****-*-****--**.-**---..*...*...-*...****.*******************..`  **********************************************************************`  .
400`  UP6K`  -*----*---------------*-.--.---------------*------------------------*-`  --------------------*-.------..*.......--...*-*-.-------------------..`  **********************************************************************`  .
400`  UP6L`  ************************.*********************************************`  **********************************************************************`  **********************************************************************`  *
400`  UP7F`  ************************.*********************************************`  **********************************************************************`  **********************************************************************`  *
400`  UP7L`  ************************.*********************************************`  **********************************************************************`  **********************************************************************`  *
400`  UP8F`  ***.*.******************.************************.***.*...**...****.*.`  .*..*.*..**...*.*..***..*****...***.*****.*.*****...*******.*....****F`  ......................................................................`  F
400`  UP9F`  *-**********************.************************.*.*.*.*.**-**-****..`  ********-*****-*********--*******-************************-**********F`  **********************************************************************`  F
