MANDT [C(00006)]`KTOPL [C(00008)]`KTOSL [C(00006)]`BWMOD [C(00008)]`KOMOK [C(00006)]`BKLAS [C(00008)]`KONTS [C(00020)]`KONTH [C(00020)]
400`  CASK`  FRL`  0001`  `  `  `
400`  CASK`  FRN`  0001`  `  `  `
400`  CATW`  FRL`  0001`  `  `  `
400`  CATW`  FRN`  0001`  `  `  `
400`  CATW`  WRY`  0001`  `  `  `
400`  CAFI`  AUM`  0001`  `  3031`  0000442200`  0000442100
400`  CAFI`  AUM`  0001`  `  3040`  0000442200`  0000442100
400`  CAFI`  AUM`  0001`  `  3050`  0000442200`  0000442100
400`  CAFI`  AUM`  0001`  `  3100`  0000442200`  0000442100
400`  CAFI`  AUM`  0001`  `  7900`  0000442200`  0000442100
400`  CAFI`  AUM`  0001`  `  7920`  0000442200`  0000442100
400`  CAFI`  BSX`  0001`  `  3000`  0000141100`  0000141100
400`  CAFI`  BSX`  0001`  `  3001`  0000141200`  0000141200
400`  CAFI`  BSX`  0001`  `  3040`  0000142100`  0000142100
400`  CAFI`  BSX`  0001`  `  3050`  0000142200`  0000142200
400`  CAFI`  BSX`  0001`  `  7900`  0000143010`  0000143010
400`  CAFI`  UMB`  0001`  `  3000`  0000451220`  0000451120
400`  CAFI`  UMB`  0001`  `  3001`  0000451220`  0000451120
400`  CAFI`  UMB`  0001`  `  3030`  0000451220`  0000451120
400`  CAFI`  UMB`  0001`  `  3031`  0000451220`  0000451120
400`  CAFI`  UMB`  0001`  `  3040`  0000451220`  0000451120
400`  CAFI`  UMB`  0001`  `  3050`  0000451220`  0000451120
400`  CAFI`  UMB`  0001`  `  3100`  0000451220`  0000451120
400`  CAFR`  AUM`  0001`  `  3001`  0000658200`  0000703200
400`  CAFR`  AUM`  0001`  `  3030`  0000658200`  0000703200
400`  CAFR`  AUM`  0001`  `  3040`  0000658200`  0000703200
400`  CAFR`  AUM`  0001`  `  3050`  0000658200`  0000703200
400`  CAFR`  AUM`  0001`  `  3100`  0000658200`  0000703200
